                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0135,                 3.9965,                 4.1371,                0.00361,                0.83988,                0.05859,                0.01774,                 2.4332,                 3.9842,                 3.9922,             0.00041209,             0.00041209,             0.00041209
                      2,                 2.7524,                 3.5034,                 3.4883,                0.55155,                0.06173,                0.03271,                0.00872,                 2.7666,                 10.183,                 3.9624,             0.00081235,             0.00081235,             0.00081235
                      3,                 2.3045,                 3.1339,                 2.9909,                0.54145,                 0.0744,                 0.0727,                0.02572,                 2.4385,                 3.6446,                 3.4412,              0.0011961,              0.0011961,              0.0011961
                      4,                 2.0151,                 2.8728,                 2.7019,                0.36512,                0.33452,                0.19483,                0.09349,                 1.7621,                 3.6295,                 2.5808,              0.0011757,              0.0011757,              0.0011757
                      5,                 1.8329,                 2.5501,                 2.4687,                0.43997,                0.28512,                0.27733,                0.13938,                 2.0489,                 2.8382,                 2.7577,              0.0011757,              0.0011757,              0.0011757
                      6,                 1.6969,                 2.2927,                 2.3073,                0.66384,                 0.2125,                0.26057,                0.12476,                 1.9388,                 2.8901,                 2.8725,               0.001151,               0.001151,               0.001151
                      7,                 1.6282,                 2.1724,                 2.2369,                0.41735,                0.42261,                0.25866,                 0.1258,                 1.9284,                 2.3471,                 2.6511,              0.0011263,              0.0011263,              0.0011263
                      8,                 1.5573,                 2.0149,                 2.1571,                0.45271,                0.43095,                0.34674,                0.18298,                 1.7278,                 1.9094,                 2.4575,              0.0011015,              0.0011015,              0.0011015
                      9,                 1.4738,                 1.8883,                 2.0745,                 0.2516,                 0.7381,                0.36891,                0.20718,                 1.5871,                 1.7451,                 2.2707,              0.0010768,              0.0010768,              0.0010768
                     10,                 1.4811,                 1.8614,                 2.0565,                0.48908,                0.44635,                0.39848,                0.21851,                 1.6372,                 1.8145,                 2.3454,               0.001052,               0.001052,               0.001052
                     11,                 1.4359,                  1.776,                 2.0055,                0.47495,                0.39345,                0.33199,                 0.1659,                  1.987,                 2.1921,                 2.7542,              0.0010273,              0.0010273,              0.0010273
                     12,                 1.4112,                  1.743,                 1.9877,                0.53002,                0.41062,                0.41341,                0.23448,                 1.5061,                 1.8995,                 2.2386,              0.0010025,              0.0010025,              0.0010025
                     13,                   1.37,                 1.6937,                 1.9392,                0.48637,                0.48155,                0.41917,                 0.2409,                 1.5989,                 1.8216,                 2.2208,             0.00097775,             0.00097775,             0.00097775
                     14,                 1.3539,                 1.6437,                 1.9151,                0.25545,                0.67619,                0.44408,                0.25339,                 1.5981,                 1.6907,                 2.2147,               0.000953,               0.000953,               0.000953
                     15,                 1.3567,                 1.6317,                 1.9108,                0.27326,                0.56014,                0.41592,                0.21377,                 1.8249,                 1.8689,                 2.5316,             0.00092825,             0.00092825,             0.00092825
                     16,                 1.3155,                 1.5993,                 1.8853,                 0.2381,                0.69024,                0.44964,                0.27191,                 1.4414,                 1.6113,                 2.0501,              0.0009035,              0.0009035,              0.0009035
                     17,                 1.3137,                 1.5675,                 1.8695,                0.29803,                 0.7141,                0.46512,                0.27871,                 1.4626,                  1.861,                 2.1234,             0.00087875,             0.00087875,             0.00087875
                     18,                 1.2973,                 1.5649,                 1.8552,                0.29377,                 0.8006,                0.46754,                0.27824,                 1.5376,                 1.5862,                 2.1951,               0.000854,               0.000854,               0.000854
                     19,                 1.2993,                 1.5202,                 1.8393,                0.30419,                0.70295,                 0.5036,                0.30604,                 1.4744,                  1.526,                 2.0783,             0.00082925,             0.00082925,             0.00082925
                     20,                 1.2651,                 1.5135,                 1.8214,                0.66742,                0.48869,                0.51164,                0.29294,                 1.5988,                 1.5722,                 2.1823,              0.0008045,              0.0008045,              0.0008045
                     21,                 1.2431,                 1.4979,                 1.8153,                0.34595,                0.75124,                0.53427,                 0.3162,                 1.4451,                  1.469,                 2.0658,             0.00077975,             0.00077975,             0.00077975
                     22,                 1.2584,                 1.4725,                 1.8179,                0.32973,                 0.7756,                0.52353,                0.32361,                 1.4452,                 1.4864,                 2.0663,               0.000755,               0.000755,               0.000755
                     23,                  1.219,                 1.4825,                 1.7866,                0.30955,                0.71369,                0.52287,                0.32033,                 1.3811,                 1.5891,                 2.0117,             0.00073025,             0.00073025,             0.00073025
                     24,                 1.2202,                 1.4527,                 1.7918,                0.32824,                0.74618,                0.55251,                 0.3539,                 1.4316,                 1.5214,                 2.0115,              0.0007055,              0.0007055,              0.0007055
                     25,                 1.2065,                  1.441,                 1.7756,                0.37305,                0.74177,                0.57744,                0.34162,                 1.4397,                 1.4404,                 2.0212,             0.00068075,             0.00068075,             0.00068075
                     26,                 1.1947,                 1.4073,                 1.7589,                0.34041,                0.79312,                0.58693,                0.36488,                 1.4182,                 1.4667,                 2.0671,               0.000656,               0.000656,               0.000656
                     27,                 1.2096,                 1.3824,                 1.7553,                 0.3691,                0.70846,                0.48002,                0.29591,                 1.4165,                 1.8121,                 1.9758,             0.00063125,             0.00063125,             0.00063125
                     28,                 1.2022,                 1.3883,                 1.7591,                0.47237,                0.62373,                 0.5875,                0.36985,                 1.4434,                  1.439,                 1.9997,              0.0006065,              0.0006065,              0.0006065
                     29,                 1.1856,                 1.3596,                 1.7387,                0.43009,                 0.7166,                0.65106,                0.41222,                 1.3651,                 1.2746,                 1.9415,             0.00058175,             0.00058175,             0.00058175
                     30,                  1.169,                 1.3587,                 1.7316,                0.43213,                0.70025,                0.59118,                0.37652,                 1.3463,                   1.52,                 1.9148,               0.000557,               0.000557,               0.000557
                     31,                 1.1592,                 1.2984,                 1.7226,                0.41262,                0.76534,                0.64266,                0.40959,                 1.4239,                  1.437,                 2.0161,             0.00053225,             0.00053225,             0.00053225
                     32,                 1.1624,                 1.3127,                 1.7188,                 0.5207,                 0.6881,                0.68271,                0.42728,                 1.4231,                 1.3334,                 2.0336,              0.0005075,              0.0005075,              0.0005075
                     33,                 1.1433,                 1.3488,                 1.7165,                0.52142,                0.76589,                0.69207,                0.45603,                 1.3209,                 1.2211,                 1.8684,             0.00048275,             0.00048275,             0.00048275
                     34,                 1.1518,                 1.3066,                 1.7042,                0.46716,                0.72118,                0.63328,                0.40382,                  1.338,                 1.3593,                 1.9044,               0.000458,               0.000458,               0.000458
                     35,                 1.1409,                 1.2957,                 1.7055,                0.53223,                0.61031,                0.62768,                0.41059,                 1.3655,                 1.3419,                 1.9195,             0.00043325,             0.00043325,             0.00043325
                     36,                 1.1612,                 1.3055,                 1.7146,                0.49234,                0.76656,                 0.6823,                 0.4342,                 1.3843,                  1.318,                 1.9664,              0.0004085,              0.0004085,              0.0004085
                     37,                 1.1432,                 1.2489,                 1.6945,                0.45998,                0.78961,                0.65989,                0.42148,                 1.3911,                    1.4,                 1.9662,             0.00038375,             0.00038375,             0.00038375
                     38,                 1.1414,                 1.2404,                  1.688,                0.57347,                0.67869,                0.69911,                0.45988,                 1.3536,                 1.2899,                 1.8971,               0.000359,               0.000359,               0.000359
                     39,                 1.1123,                 1.2256,                  1.673,                0.51777,                0.72742,                0.70197,                0.45164,                 1.3527,                 1.2617,                 1.9197,             0.00033425,             0.00033425,             0.00033425
                     40,                 1.1161,                 1.2344,                 1.6727,                0.52964,                0.68359,                0.67488,                0.42702,                  1.359,                 1.4229,                  1.962,              0.0003095,              0.0003095,              0.0003095
                     41,                 1.0951,                 1.0219,                 1.7603,                 0.5824,                0.65179,                0.69954,                 0.4651,                 1.3162,                 1.2413,                 1.8615,             0.00028475,             0.00028475,             0.00028475
                     42,                 1.0654,                0.95429,                 1.7127,                0.67057,                0.73929,                 0.7692,                0.49033,                 1.3806,                 1.1355,                   1.92,                0.00026,                0.00026,                0.00026
                     43,                 1.0608,                0.91631,                 1.7044,                0.64103,                0.74427,                0.76581,                0.50675,                  1.352,                 1.1369,                 1.9115,             0.00023525,             0.00023525,             0.00023525
                     44,                 1.0552,                0.90902,                  1.703,                0.66733,                0.74192,                 0.7588,                0.50691,                 1.2973,                 1.0856,                 1.8541,              0.0002105,              0.0002105,              0.0002105
                     45,                 1.0441,                0.88936,                 1.7014,                0.60547,                0.73859,                 0.7646,                0.50627,                 1.3121,                 1.0859,                 1.8507,             0.00018575,             0.00018575,             0.00018575
                     46,                 1.0253,                0.86788,                 1.6573,                0.67594,                 0.7361,                0.79553,                 0.5358,                 1.2951,                 1.0508,                 1.8305,               0.000161,               0.000161,               0.000161
                     47,                 1.0153,                0.84988,                 1.6726,                0.72075,                0.66285,                0.77391,                0.51111,                 1.3468,                 1.1053,                 1.8712,             0.00013625,             0.00013625,             0.00013625
                     48,                 1.0084,                 0.8561,                 1.6612,                0.76878,                0.63857,                0.76956,                0.51796,                 1.3009,                  1.036,                 1.8412,              0.0001115,              0.0001115,              0.0001115
                     49,                 1.0056,                0.82036,                  1.656,                0.73187,                0.68439,                0.80847,                0.55405,                 1.2633,                 1.0478,                 1.8198,              8.675e-05,              8.675e-05,              8.675e-05
                     50,                 1.0074,                0.82014,                 1.6564,                0.70388,                0.75077,                0.79673,                 0.5474,                 1.2625,                 0.9854,                 1.8163,                6.2e-05,                6.2e-05,                6.2e-05
